acce, 0.12, -0.13, 1.00
acce, 0.10, -0.12, 0.99
acce, 0.10, -0.12, 0.99
acce, 0.14, -0.11, 1.00
acce, 0.18, -0.12, 1.00
acce, 0.20, -0.12, 1.02
acce, 0.23, -0.12, 1.03
acce, 0.25, -0.13, 1.04
acce, 0.23, -0.14, 1.05
acce, 0.19, -0.14, 1.05
acce, 0.19, -0.14, 1.04
acce, 0.18, -0.13, 1.04
acce, 0.19, -0.12, 1.03
acce, 0.18, -0.11, 1.02
acce, 0.19, -0.11, 1.01
acce, 0.23, -0.10, 1.02
acce, 0.23, -0.10, 1.00
acce, 0.23, -0.11, 1.01
acce, 0.24, -0.11, 1.02
acce, 0.22, -0.12, 1.02
acce, 0.22, -0.12, 1.03
acce, 0.18, -0.12, 1.03
acce, 0.15, -0.13, 1.02
acce, 0.13, -0.14, 1.05
acce, 0.13, -0.14, 1.08
acce, 0.14, -0.16, 1.12
acce, 0.16, -0.16, 1.16
acce, 0.21, -0.15, 1.14
acce, 0.20, -0.14, 1.10
acce, 0.19, -0.13, 1.05
acce, 0.17, -0.13, 0.98
acce, 0.14, -0.13, 0.96
acce, 0.13, -0.14, 0.96
acce, 0.09, -0.15, 0.97
acce, 0.04, -0.15, 1.01
acce, 0.05, -0.15, 1.03
acce, 0.05, -0.15, 1.04
acce, 0.05, -0.17, 1.07
acce, 0.00, -0.17, 1.13
acce, 0.02, -0.18, 1.18
acce, 0.05, -0.19, 1.19
acce, 0.07, -0.19, 1.14
acce, -0.01, -0.19, 1.09
acce, -0.23, -0.19, 1.06
acce, -0.22, -0.18, 1.09
acce, -0.15, -0.18, 1.12
acce, -0.03, -0.17, 1.09
acce, -0.00, -0.14, 1.08
acce, 0.05, -0.15, 1.09
acce, 0.12, -0.15, 1.08
acce, 0.19, -0.13, 1.08
acce, 0.21, -0.12, 1.09
acce, 0.23, -0.12, 1.05
acce, 0.22, -0.11, 1.02
acce, 0.19, -0.11, 0.99
acce, 0.20, -0.12, 0.95
acce, 0.16, -0.12, 0.94
acce, 0.05, -0.14, 0.96
acce, 0.07, -0.13, 0.97
acce, 0.09, -0.15, 1.02
acce, 0.11, -0.16, 1.05
acce, 0.09, -0.17, 1.09
acce, 0.08, -0.19, 1.10
acce, 0.10, -0.18, 1.10
acce, 0.12, -0.16, 1.10
acce, 0.10, -0.16, 1.10
acce, 0.11, -0.16, 1.06
acce, 0.12, -0.15, 1.02
acce, 0.16, -0.15, 0.99
acce, 0.16, -0.16, 0.98
acce, 0.13, -0.15, 1.01
acce, 0.05, -0.14, 1.04
acce, 0.11, -0.15, 1.03
acce, 0.19, -0.13, 1.03
acce, 0.22, -0.14, 1.04
acce, 0.24, -0.15, 1.06
acce, 0.26, -0.16, 1.08
acce, 0.22, -0.17, 1.08
acce, 0.13, -0.14, 1.12
acce, 0.11, -0.12, 1.05
acce, 0.05, -0.16, 1.08
acce, 0.13, -0.15, 1.07
acce, 0.21, -0.17, 1.05
acce, 0.21, -0.18, 1.03
acce, 0.19, -0.19, 1.04
acce, 0.15, -0.19, 1.03
acce, 0.10, -0.16, 1.01
acce, 0.10, -0.15, 0.98
acce, 0.10, -0.15, 0.93
acce, 0.06, -0.14, 0.94
acce, 0.07, -0.14, 0.99
acce, 0.11, -0.14, 1.02
acce, 0.13, -0.14, 1.08
acce, 0.12, -0.15, 1.08
acce, 0.24, -0.15, 1.16
acce, 0.24, -0.15, 1.14
acce, 0.23, -0.13, 1.12
acce, 0.17, -0.13, 1.05
acce, 0.18, -0.13, 1.08
acce, 0.13, -0.13, 1.02
